timestep,iswolf,id,posx,posy,age,color,hunger,vision
0,1,0,0,3,0.000000,,0.000000,0.353399
0,1,1,1,2,0.000000,,0.000000,0.109708
0,0,2,4,2,0.000000,0.558975,,
0,0,3,3,3,0.000000,0.252805,,
1,1,0,1,3,2.500000,,8.500000,0.353399
1,1,1,1,2,2.500000,,8.500000,0.109708
1,0,2,3,3,2.500000,0.558975,,
1,0,3,3,4,2.500000,0.252805,,
2,1,0,1,2,5.000000,,17.000000,0.353399
2,1,1,2,1,5.000000,,17.000000,0.109708
2,0,2,4,3,5.000000,0.558975,,
2,0,3,4,4,5.000000,0.252805,,
3,1,0,1,2,7.500000,,25.500000,0.353399
3,1,1,2,0,7.500000,,25.500000,0.109708
3,0,2,3,3,7.500000,0.558975,,
3,0,3,4,4,7.500000,0.252805,,
4,1,0,0,1,10.000000,,34.000000,0.353399
4,1,1,3,-1,10.000000,,34.000000,0.109708
4,0,2,2,2,10.000000,0.558975,,
4,0,3,5,4,10.000000,0.252805,,
